#Top: ios   Floorplan: io_1   Part: xc7a100tfgg484-1
#Generated by: jg   on: Sat Aug 29 22:36:19 2020
#Build: Vivado v2019.2   by: xbuild   on: Wed Nov  6 21:39:14 MST 2019
#Package Version: FINAL 2012-11-02
#Package Pin Delay Version: VERS. 2.0 2012-11-02

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 1 unassigned signals in this design. The last 1 rows of this file list these signals.
################################################################################

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
14,W19,IOB_X0Y76,IO_L12P_T1_MRCC_14,146.570,148.043,,,CLK100MHZ,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,Y17,IOB_X0Y49,IO_0_13,90.185,91.091,,,io_0_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,Y16,IOB_X0Y48,IO_L1P_T0_13,132.403,133.734,,,io_l1p_t0_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AA16,IOB_X0Y47,IO_L1N_T0_13,133.142,134.480,,,io_l1n_t0_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AB16,IOB_X0Y46,IO_L2P_T0_13,143.697,145.142,,,io_l2p_t0_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AB17,IOB_X0Y45,IO_L2N_T0_13,134.455,135.807,,,io_l2n_t0_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AA13,IOB_X0Y44,IO_L3P_T0_DQS_13,160.672,162.287,,,io_l3p_t0_dqs_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AB13,IOB_X0Y43,IO_L3N_T0_DQS_13,168.040,169.729,,,io_l3n_t0_dqs_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AA15,IOB_X0Y42,IO_L4P_T0_13,142.466,143.898,,,io_l4p_t0_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AB15,IOB_X0Y41,IO_L4N_T0_13,138.627,140.021,,,io_l4n_t0_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,Y13,IOB_X0Y40,IO_L5P_T0_13,134.822,136.177,,,io_l5p_t0_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AA14,IOB_X0Y39,IO_L5N_T0_13,139.360,140.760,,,io_l5n_t0_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,W14,IOB_X0Y38,IO_L6P_T0_13,135.845,137.210,,,io_l6p_t0_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,Y14,IOB_X0Y37,IO_L6N_T0_VREF_13,135.436,136.797,,,io_l6n_t0_vref_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AB11,IOB_X0Y36,IO_L7P_T1_13,161.911,163.538,,,io_l7p_t1_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AB12,IOB_X0Y35,IO_L7N_T1_13,159.469,161.071,,,io_l7n_t1_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AA9,IOB_X0Y34,IO_L8P_T1_13,164.007,165.655,,,io_l8p_t1_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AB10,IOB_X0Y33,IO_L8N_T1_13,171.066,172.785,,,io_l8n_t1_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AA10,IOB_X0Y32,IO_L9P_T1_DQS_13,144.169,145.618,,,io_l9p_t1_dqs_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,AA11,IOB_X0Y31,IO_L9N_T1_DQS_13,152.460,153.992,,,io_l9n_t1_dqs_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,V10,IOB_X0Y30,IO_L10P_T1_13,164.017,165.666,,,io_l10p_t1_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,W10,IOB_X0Y29,IO_L10N_T1_13,161.634,163.259,,,io_l10n_t1_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,Y11,IOB_X0Y28,IO_L11P_T1_SRCC_13,142.529,143.962,,,io_l11p_t1_srcc_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,Y12,IOB_X0Y27,IO_L11N_T1_SRCC_13,144.196,145.645,,,io_l11n_t1_srcc_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,W11,IOB_X0Y26,IO_L12P_T1_MRCC_13,142.839,144.275,,,io_l12p_t1_mrcc_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
13,W12,IOB_X0Y25,IO_L12N_T1_MRCC_13,142.891,144.327,,,io_l12n_t1_mrcc_13,UNKNOWN,,,LVCMOS33,12,SLOW,,,,,,,,,,,
