pad;F.Cu;In1.Cu;In2.Cu;In3.Cu;In4.Cu;B.Cu;;Layer Name;velocity (m/s);min flight T (ps);max flight T (ps);mean flight t (s)
F15;5.416617;4.351053;4.351053;4.351053029599;4.351053059198;4.351053088797;;F.Cu;1.83E+08;29.451;29.747;2.9599E-11
T13;6.582327;5.287443;5.287443;5.287443035969;5.287443071938;5.287443107907;;In1.Cu;1.47E+08;35.789;36.149;3.5969E-11
J16;6.668886;5.356974;5.356974;5.356974036442;5.356974072884;5.356974109326;;In2.Cu;1.47E+08;36.26;36.624;3.6442E-11
E10;7.2972165;5.8616985;5.8616985;5.8616985398755;5.861698579751;5.8616986196265;;In3.Cu;1.47E+08;39.676;40.075;3.98755E-11
L6;7.3087455;5.8709595;5.8709595;5.8709595399385;5.870959579877;5.8709596198155;;In4.Cu;1.47E+08;39.739;40.138;3.99385E-11
F10;7.3667565;5.9175585;5.9175585;5.9175585402555;5.917558580511;5.9175586207665;;B.Cu;1.83E+08;40.054;40.457;4.02555E-11
M17;7.5934935;6.0996915;6.0996915;6.0996915414945;6.099691582989;6.0996916244835;;;;41.287;41.702;4.14945E-11
U13;8.3262255;6.6882795;6.6882795;6.6882795454985;6.688279590997;6.6882796364955;;;;45.271;45.726;4.54985E-11
D9;8.994084;7.224756;7.224756;7.224756049148;7.224756098296;7.224756147444;;Thickness;0.0012;48.902;49.394;4.9148E-11
C9;9.150183;7.350147;7.350147;7.350147050001;7.350147100002;7.350147150003;;;;49.751;50.251;5.0001E-11
D7;9.2752635;7.4506215;7.4506215;7.4506215506845;7.450621601369;7.4506216520535;;viaflight;6.55737704918033E-12;50.431;50.938;5.06845E-11
C7;9.5695275;7.6869975;7.6869975;7.6869975522925;7.686997604585;7.6869976568775;;;;52.031;52.554;5.22925E-11
F6;10.2246675;8.2132575;8.2132575;8.2132575558725;8.213257611745;8.2132576676175;;;;55.593;56.152;5.58725E-11
D11;10.2777375;8.2558875;8.2558875;8.2558875561625;8.255887612325;8.2558876684875;;;;55.882;56.443;5.61625E-11
N15;10.315344;8.286096;8.286096;8.286096056368;8.286096112736;8.286096169104;;;;56.086;56.65;5.6368E-11
U12;10.348284;8.312556;8.312556;8.312556056548;8.312556113096;8.312556169644;;;;56.265;56.831;5.6548E-11
C11;10.4175495;8.3681955;8.3681955;8.3681955569265;8.368195613853;8.3681956707795;;;;56.642;57.211;5.69265E-11
U7;10.573191;8.493219;8.493219;8.493219057777;8.493219115554;8.493219173331;;;;57.488;58.066;5.7777E-11
E6;10.840554;8.707986;8.707986;8.707986059238;8.707986118476;8.707986177714;;;;58.942;59.534;5.9238E-11
R13;11.170869;8.973321;8.973321;8.973321061043;8.973321122086;8.973321183129;;;;60.738;61.348;6.1043E-11
F4;11.709255;9.405795;9.405795;9.405795063985;9.40579512797;9.405795191955;;;;63.665;64.305;6.3985E-11
D16;11.7402735;9.4307115;9.4307115;9.4307115641545;9.430711628309;9.4307116924635;;;;63.834;64.475;6.41545E-11
C14;11.9646315;9.6109335;9.6109335;9.6109335653805;9.610933630761;9.6109336961415;;;;65.054;65.707;6.53805E-11
C15;12.1070055;9.7252995;9.7252995;9.7252995661585;9.725299632317;9.7252996984755;;;;65.828;66.489;6.61585E-11
B8;12.1736175;9.7788075;9.7788075;9.7788075665225;9.778807633045;9.7788076995675;;;;66.19;66.855;6.65225E-11
B10;12.178101;9.782409;9.782409;9.782409066547;9.782409133094;9.782409199641;;;;66.214;66.88;6.6547E-11
H17;12.4129815;9.9710835;9.9710835;9.9710835678305;9.971083635661;9.9710837034915;;;;67.491;68.17;6.78305E-11
A8;12.4142625;9.9721125;9.9721125;9.9721125678375;9.972112635675;9.9721127035125;;;;67.498;68.177;6.78375E-11
E16;12.4281705;9.9832845;9.9832845;9.9832845679135;9.983284635827;9.9832847037405;;;;67.574;68.253;6.79135E-11
D5;12.4367715;9.9901935;9.9901935;9.9901935679605;9.990193635921;9.9901937038815;;;;67.621;68.3;6.79605E-11
A10;12.453882;10.003938;10.003938;10.003938068054;10.003938136108;10.003938204162;;;;67.714;68.394;6.8054E-11
C5;12.510978;10.049802;10.049802;10.049802068366;10.049802136732;10.049802205098;;;;68.024;68.708;6.8366E-11
F13;12.6040335;10.1245515;10.1245515;10.1245515688745;10.124551637749;10.1245517066235;;;;68.53;69.219;6.88745E-11
F14;12.6781485;10.1840865;10.1840865;10.1840865692795;10.184086638559;10.1840867078385;;;;68.933;69.626;6.92795E-11
F16;12.880821;10.346889;10.346889;10.346889070387;10.346889140774;10.346889211161;;;;70.035;70.739;7.0387E-11
E17;13.443363;10.798767;10.798767;10.798767073461;10.798767146922;10.798767220383;;;;73.094;73.828;7.3461E-11
U9;13.530105;10.868445;10.868445;10.868445073935;10.86844514787;10.868445221805;;;;73.565;74.305;7.3935E-11
B6;13.5653325;10.8967425;10.8967425;10.8967425741275;10.896742648255;10.8967427223825;;;;73.757;74.498;7.41275E-11
P20;13.623252;10.943268;10.943268;10.943268074444;10.943268148888;10.943268223332;;;;74.072;74.816;7.4444E-11
J15;13.730673;11.029557;11.029557;11.029557075031;11.029557150062;11.029557225093;;;;74.656;75.406;7.5031E-11
H18;13.845597;11.121873;11.121873;11.121873075659;11.121873151318;11.121873226977;;;;75.281;76.037;7.5659E-11
A6;13.859322;11.132898;11.132898;11.132898075734;11.132898151468;11.132898227202;;;;75.355;76.113;7.5734E-11
G16;14.099052;11.325468;11.325468;11.325468077044;11.325468154088;11.325468231132;;;;76.659;77.429;7.7044E-11
G18;14.1203715;11.3425935;11.3425935;11.3425935771605;11.342593654321;11.3425937314815;;;;76.775;77.546;7.71605E-11
M15;14.1478215;11.3646435;11.3646435;11.3646435773105;11.364643654621;11.3646437319315;;;;76.924;77.697;7.73105E-11
G15;14.205741;11.411169;11.411169;11.411169077627;11.411169155254;11.411169232881;;;;77.239;78.015;7.7627E-11
H15;14.31243;11.49687;11.49687;11.49687007821;11.49687015642;11.49687023463;;;;77.819;78.601;7.821E-11
J20;14.3364945;11.5162005;11.5162005;11.5162005783415;11.516200656683;11.5162007350245;;;;77.95;78.733;7.83415E-11
J4;14.4303735;11.5916115;11.5916115;11.5916115788545;11.591611657709;11.5916117365635;;;;78.46;79.249;7.88545E-11
K4;14.500737;11.648133;11.648133;11.648133079239;11.648133158478;11.648133237717;;;;78.843;79.635;7.9239E-11
D15;14.639085;11.759265;11.759265;11.759265079995;11.75926515999;11.759265239985;;;;79.595;80.395;7.9995E-11
R18;14.644392;11.763528;11.763528;11.763528080024;11.763528160048;11.763528240072;;;;79.624;80.424;8.0024E-11
L4;14.681724;11.793516;11.793516;11.793516080228;11.793516160456;11.793516240684;;;;79.827;80.629;8.0228E-11
J19;14.6968215;11.8056435;11.8056435;11.8056435803105;11.805643660621;11.8056437409315;;;;79.909;80.712;8.03105E-11
L13;14.722716;11.826444;11.826444;11.826444080452;11.826444160904;11.826444241356;;;;80.05;80.854;8.0452E-11
T18;14.755107;11.852463;11.852463;11.852463080629;11.852463161258;11.852463241887;;;;80.226;81.032;8.0629E-11
J21;14.8344375;11.9161875;11.9161875;11.9161875810625;11.916187662125;11.9161877431875;;;;80.657;81.468;8.10625E-11
H4;14.8962;11.9658;11.9658;11.9658000814;11.9658001628;11.9658002442;;;;80.993;81.807;8.14E-11
G17;14.9058075;11.9735175;11.9735175;11.9735175814525;11.973517662905;11.9735177443575;;;;81.045;81.86;8.14525E-11
N17;14.9098335;11.9767515;11.9767515;11.9767515814745;11.976751662949;11.9767517444235;;;;81.067;81.882;8.14745E-11
J6;14.9158725;11.9816025;11.9816025;11.9816025815075;11.981602663015;11.9816027445225;;;;81.1;81.915;8.15075E-11
H19;14.9436885;12.0039465;12.0039465;12.0039465816595;12.003946663319;12.0039467449785;;;;81.251;82.068;8.16595E-11
F21;15.0117645;12.0586305;12.0586305;12.0586305820315;12.058630664063;12.0586307460945;;;;81.621;82.442;8.20315E-11
G4;15.0247575;12.0690675;12.0690675;12.0690675821025;12.069067664205;12.0690677463075;;;;81.692;82.513;8.21025E-11
P16;15.043332;12.083988;12.083988;12.083988082204;12.083988164408;12.083988246612;;;;81.793;82.615;8.2204E-11
M16;15.0580635;12.0958215;12.0958215;12.0958215822845;12.095821664569;12.0958217468535;;;;81.873;82.696;8.22845E-11
J17;15.147825;12.167925;12.167925;12.167925082775;12.16792516555;12.167925248325;;;;82.361;83.189;8.2775E-11
J5;15.2450895;12.2460555;12.2460555;12.2460555833065;12.246055666613;12.2460557499195;;;;82.89;83.723;8.33065E-11
K6;15.266409;12.263181;12.263181;12.263181083423;12.263181166846;12.263181250269;;;;83.006;83.84;8.3423E-11
L5;15.3107865;12.2988285;12.2988285;12.2988285836655;12.298828667331;12.2988287509965;;;;83.247;84.084;8.36655E-11
R14;15.3761175;12.3513075;12.3513075;12.3513075840225;12.351307668045;12.3513077520675;;;;83.602;84.443;8.40225E-11
K18;15.3887445;12.3614505;12.3614505;12.3614505840915;12.361450668183;12.3614507522745;;;;83.671;84.512;8.40915E-11
H5;15.548229;12.489561;12.489561;12.489561084963;12.489561169926;12.489561254889;;;;84.538;85.388;8.4963E-11
K17;15.578058;12.513522;12.513522;12.513522085126;12.513522170252;12.513522255378;;;;84.7;85.552;8.5126E-11
R17;15.604959;12.535131;12.535131;12.535131085273;12.535131170546;12.535131255819;;;;84.847;85.699;8.5273E-11
K14;15.8702175;12.7482075;12.7482075;12.7482075867225;12.748207673445;12.7482077601675;;;;86.289;87.156;8.67225E-11
U10;15.9395745;12.8039205;12.8039205;12.8039205871015;12.803920674203;12.8039207613045;;;;86.666;87.537;8.71015E-11
U11;15.989991;12.844419;12.844419;12.844419087377;12.844419174754;12.844419262131;;;;86.94;87.814;8.7377E-11
H20;16.0563285;12.8977065;12.8977065;12.8977065877395;12.897706675479;12.8977067632185;;;;87.301;88.178;8.77395E-11
K19;16.06191;12.90219;12.90219;12.90219008777;12.90219017554;12.90219026331;;;;87.331;88.209;8.777E-11
D14;16.103634;12.935706;12.935706;12.935706087998;12.935706175996;12.935706263994;;;;87.558;88.438;8.7998E-11
T6;16.1181825;12.9473925;12.9473925;12.9473925880775;12.947392676155;12.9473927642325;;;;87.637;88.518;8.80775E-11
L18;16.1187315;12.9478335;12.9478335;12.9478335880805;12.947833676161;12.9478337642415;;;;87.64;88.521;8.80805E-11
L20;16.1492925;12.9723825;12.9723825;12.9723825882475;12.972382676495;12.9723827647425;;;;87.806;88.689;8.82475E-11
D19;16.218192;13.027728;13.027728;13.027728088624;13.027728177248;13.027728265872;;;;88.181;89.067;8.8624E-11
H2;16.2665955;13.0666095;13.0666095;13.0666095888885;13.066609677777;13.0666097666655;;;;88.444;89.333;8.88885E-11
P6;16.284072;13.080648;13.080648;13.080648088984;13.080648177968;13.080648266952;;;;88.539;89.429;8.8984E-11
P17;16.3072215;13.0992435;13.0992435;13.0992435891105;13.099243678221;13.0992437673315;;;;88.665;89.556;8.91105E-11
P14;16.308594;13.100346;13.100346;13.100346089118;13.100346178236;13.100346267354;;;;88.672;89.564;8.9118E-11
L16;16.3443705;13.1290845;13.1290845;13.1290845893135;13.129084678627;13.1290847679405;;;;88.867;89.76;8.93135E-11
G2;16.3771275;13.1553975;13.1553975;13.1553975894925;13.155397678985;13.1553977684775;;;;89.045;89.94;8.94925E-11
H3;16.424616;13.193544;13.193544;13.193544089752;13.193544179504;13.193544269256;;;;89.303;90.201;8.9752E-11
M6;16.4585625;13.2208125;13.2208125;13.2208125899375;13.220812679875;13.2208127698125;;;;89.488;90.387;8.99375E-11
L19;16.474026;13.233234;13.233234;13.233234090022;13.233234180044;13.233234270066;;;;89.572;90.472;9.0022E-11
R6;16.4772285;13.2358065;13.2358065;13.2358065900395;13.235806680079;13.2358067701185;;;;89.589;90.49;9.00395E-11
N12;16.4946135;13.2497715;13.2497715;13.2497715901345;13.249771680269;13.2497717704035;;;;89.684;90.585;9.01345E-11
M5;16.555827;13.298943;13.298943;13.298943090469;13.298943180938;13.298943271407;;;;90.017;90.921;9.0469E-11
Y17;16.586754;13.323786;13.323786;13.323786090638;13.323786181276;13.323786271914;;;;90.185;91.091;9.0638E-11
M18;16.5958125;13.3310625;13.3310625;13.3310625906875;13.331062681375;13.3310627720625;;;;90.234;91.141;9.06875E-11
K21;16.6020345;13.3360605;13.3360605;13.3360605907215;13.336060681443;13.3360607721645;;;;90.268;91.175;9.07215E-11
U16;16.6380855;13.3650195;13.3650195;13.3650195909185;13.365019681837;13.3650197727555;;;;90.464;91.373;9.09185E-11
E18;16.698933;13.413897;13.413897;13.413897091251;13.413897182502;13.413897273753;;;;90.795;91.707;9.1251E-11
W16;16.7025015;13.4167635;13.4167635;13.4167635912705;13.416763682541;13.4167637738115;;;;90.814;91.727;9.12705E-11
